name,date,location,category,body
"Menstruation means safe copulation, teaches Class 10 Gujarat textbook",2018-06-03,"Masterbation (Masturbation) is one type of copulation. In adolescence stage, youngsters experience strong sexual force. In order to satisfy these sexual emotions youngsters, take shelter of menstruation .”“Menstruation is one non-harmful and safe copulation process, through which youngsters are saved from infection of HIV/AIDS, as well as any sexual diseases. Menstruation neither causes any type of physical weakness nor any disease. Production of semen in the body occurs continuously. If it (semen) is not disposed of, it wastes away any how even during sleep. Thus through semen discharge it gets disposed of.”The above mentioned paragraphs of chapter 7 titled “HIV and AIDS Awareness” in class X textbook of Yoga, Health and Physical Education is yet another instance of how glaring bloopers have been allowed in the higher secondary textbooks of the state board.The way masturbation is wrongly described as a type of copulation process underscores that the board may itself be in need of some serious adolescent health education Masturbation is wrongly described as a type of copulation process. Masturbation should be explained as a safe way for adolescent boys and girls to release their sexual urge on their own. The whole purpose of giving correct information through the textbook is defeated,” said senior gynecologist Dr Parul Kotadawala.Vice president of Ahmedabad Obstetrics and Gynecological Society (AOGS) Dr Rajal Thakar who takes series of sessions of girls in adolescent health education said","News,City News,Ahmedabad News,Schools & Colleges","Masterbation (Masturbation) is one type of copulation. In adolescence stage, youngsters experience strong sexual force. In order to satisfy these sexual emotions youngsters, take shelter of menstruation .”“Menstruation is one non-harmful and safe copulation process, through which youngsters are saved from infection of HIV/AIDS, as well as any sexual diseases. Menstruation neither causes any type of physical weakness nor any disease. Production of semen in the body occurs continuously. If it (semen) is not disposed of, it wastes away any how even during sleep. Thus through semen discharge it gets disposed of.”The above mentioned paragraphs of chapter 7 titled “HIV and AIDS Awareness” in class X textbook of Yoga, Health and Physical Education is yet another instance of how glaring bloopers have been allowed in the higher secondary textbooks of the state board.The way masturbation is wrongly described as a type of copulation process underscores that the board may itself be in need of some serious adolescent health education Masturbation is wrongly described as a type of copulation process. Masturbation should be explained as a safe way for adolescent boys and girls to release their sexual urge on their own. The whole purpose of giving correct information through the textbook is defeated,” said senior gynecologist Dr Parul Kotadawala.Vice president of Ahmedabad Obstetrics and Gynecological Society (AOGS) Dr Rajal Thakar who takes series of sessions of girls in adolescent health education said: “Allowing careless typos where word menstruation to replace masturbation to adolescent class X students tends to trivialize adolescent education which is taboo in most homes. These mistakes should be immediately eliminated from the textbooks.”Nitin Pethani, executive president of Gujarat State Board of School Textbook, told TOI, “There can be mistakes in the book as we deal with hundreds of textbooks so there always remains possibility of mistakes and we will keep rectifying those mistakes.”"
"HIV: In 2018’s first trimester, 1 HIV+ person detected per day",2018-06-04,PANAJI,"News,City News,Goa News,Civic Issues","PANAJI: Ninety-two people tested positive for the human immunodeficiency virus ( HIV ) in Goa in the first three months of 2018, translating into one case being detected each day. This is a significant improvement from a decade ago, when over two HIV+ cases were recorded per day.While men constituted 60% of the total number of HIV+ cases in the first trimester of this year, no transgenders and transsexuals were detected with the condition for the second year in a row.Mormugao continued to be the taluka with the highest number of HIV+ cases (27%), while Salcete came in second at 16%. Bardez, the taluka that had in the past years reported the second-highest and, sometimes, highest number of HIV+ cases in the state, accounted for only six of the total cases in the first three months of 2018. No new cases were reported from Sattari, Sanguem and Canacona.The predominant mode of transmission of HIV has continued to be the sexual route, with over 90% of such cases reported. Transmission modes involving infected syringes, needles, blood and blood products have been negligible in the state.Although five deaths due to acquired immune deficiency syndrome (AIDS) were reported in January and February this year, chief medical officer of the Goa State AIDS Control Society (GSACS), Dr Chandrakant Parab, said the launch of the ‘test and treat’ policy last April is expected to reduce the number of AIDS-related deaths further. Under the policy, anyone diagnosed as an HIV+ patient is put on antiretroviral therapy (ART), irrespective of the clinical stage or CD4 count—a snapshot of how the patient’s immune system is functioning. In the past, ART, which suppresses the activity of the HIV retrovirus, was recommended only in cases where it was considered necessary.Since the implementation of the ‘test and treat’ policy, more than 370 HIV+ persons have been put on ART in a phased manner in the state.“ART, which can slow down the rate at which HIV weakens the immune system, is now administered to everybody: Men, women, adolescents and children,” Parab said, pointing out that the move is expected to keep their immune system strong and healthy and improve their longevity and quality of life.Parab said the elimination of stigma is vital to ensure that people who have the slightest doubt of their status voluntarily come forward to get tested and seek treatment. “Those indulging in risky behaviour must also protect themselves, as HIV is 100% preventable,” he added."
Indian-American indicted for multi-million dollar fraud scheme in US,2018-06-16,NEW YORK,"News,BUSINESS NEWS,India Business News","NEW YORK: An Indian-American former president of a blood-testing company along with its founder has been charged in the US for allegedly engaging in a multi-million dollar scheme to defraud investors, doctors and patients by making false claims about the accuracy of their much-hyped testing devices.Ramesh ""Sunny"" Balwani, 53 and Elizabeth Holmes , 34 were charged with two counts of conspiracy to commit wire fraud and nine counts of wire fraud and appeared yesterday before US Magistrate Judge Susan van Keulen in San Jose for their initial appearances, Acting United States Attorney Alex Tse said.According to the indictment unsealed yesterday, the charges stem from allegations Holmes and Balwani engaged in a multi-million dollar scheme to defraud investors, and a separate scheme to defraud doctors and patients. Both schemes involved efforts to promote Palo Alto-based company Theranos.Holmes founded Theranos in 2003 as a private health care and life sciences company aimed at revolutionizing medical laboratory testing through allegedly innovative methods for drawing blood, testing blood, and interpreting the resulting patient data.Balwani, a former boyfriend of Holmes, was employed at Theranos from September of 2009 through 2016. At times during that period, Balwani worked in several capacities including as a member of the company's board of directors, as its president, and as its chief operating officer.According to the indictment, Holmes and Balwani used advertisements and solicitations to encourage and induce doctors and patients to use Theranos's blood testing laboratory services, even though they knew Theranos was not capable of consistently producing accurate and reliable results for certain blood tests.The tests performed on Theranos technology, in addition, were likely to contain inaccurate and unreliable results.The indictment alleges that the two used a combination of direct communications, marketing materials, statements to the media, financial statements, models, and other information to defraud potential investors.Specifically, they claimed that Theranos developed a revolutionary and proprietary analyzer, which could perform a full range of clinical tests using small blood samples drawn from a finger stick. Holmes and Balwani represented that the analyzer could produce results that were more accurate and reliable than those yielded by conventional methods--all at a faster speed than previously possible.Holmes and Balwani knew that many of their representations about the analyzer were false and that the analyzer had accuracy and reliability problems, performed a limited number of tests, was slower than some competing devices, and, in some respects, could not compete with existing, more conventional machines.Authorities said Holmes and Balwani not only defrauded investors, but also consumers who trusted and relied upon their allegedly-revolutionary blood-testing technology.""This indictment alleges a corporate conspiracy to defraud financial investors,"" Federal Bureau of Investigation (FBI) Special Agent in Charge John Bennett said.""This conspiracy misled doctors and patients about the reliability of medical tests that endangered health and lives.""The indictment further alleges that Holmes and Balwani defrauded doctors and patients by making false claims concerning Theranos's ability to provide accurate, fast, reliable, and cheap blood tests and test results, and through omissions concerning the limits of and problems with Theranos's technologies.The defendants knew that Theranos was not capable of consistently producing accurate and reliable results for certain blood tests, including the tests for calcium, chloride, potassium, bicarbonate, HIV and sodium.The duo also allegedly made numerous misrepresentations to potential investors about Theranos's financial condition and its future prospects.They represented to investors that Theranos conducted its patients' tests using Theranos-manufactured analyzers; when, in truth, Holmes and Balwani knew that Theranos purchased and used for patient testing third party, commercially-available analyzers.The defendants also represented to investors that Theranos would generate over $100 million in revenues and break even in 2014 and that Theranos expected to generate approximately $1 billion in revenues in 2015 when, in truth, the defendants knew Theranos would generate only negligible or modest revenues in 2014 and 2015."
spirituality: Personal transformation workshop by Pooja Bedi in Ahmedabad on June 6,2018-06-05,"The FICCI FLO Ahmedabad has organized an interaction with actress, TV show host, bestselling author, columnist and relationship consultant Pooja Bedi.

Are you browsing the internet in a search to better your life, improve your skills or enhance your concept of self?Do you want to change your life for good, be happy, live in peace? Have you been procrastinating hitting the gym, doing some exercises at home, jogging or taking a walk down your lane? Or, are you craving for a happy relationship?If yes, then this event on Wednesday is for you.Bedi who holds diplomas in clinical, behavioural and spiritual hypnosis and is an internationally certified ‘heals your life’ practitioner will conduct a personal transformation workshop- a synergy of science and spirituality- and will share tips on leading a healthy and fit lifestyle at Novotel hotel in Ahmedabad at 3 pm on Wednesday.A believer of “When you change your thinking, you change your attitude, and when you change your attitude, you change your life”, Bedi, who is a teacher of magnified healing and angel card reading also champions several social causes like women empowerment, breast cancer, HIV awareness and poverty among others.So, what are you waiting for? Attend this interaction with this multi-talented star and take a few steps towards a happy, fulfilling and successful life of your dreams.","News,City News,Ahmedabad News","The FICCI FLO Ahmedabad has organized an interaction with actress, TV show host, bestselling author, columnist and relationship consultant Pooja Bedi.

Are you browsing the internet in a search to better your life, improve your skills or enhance your concept of self?Do you want to change your life for good, be happy, live in peace? Have you been procrastinating hitting the gym, doing some exercises at home, jogging or taking a walk down your lane? Or, are you craving for a happy relationship?If yes, then this event on Wednesday is for you.Bedi who holds diplomas in clinical, behavioural and spiritual hypnosis and is an internationally certified ‘heals your life’ practitioner will conduct a personal transformation workshop- a synergy of science and spirituality- and will share tips on leading a healthy and fit lifestyle at Novotel hotel in Ahmedabad at 3 pm on Wednesday.A believer of “When you change your thinking, you change your attitude, and when you change your attitude, you change your life”, Bedi, who is a teacher of magnified healing and angel card reading also champions several social causes like women empowerment, breast cancer, HIV awareness and poverty among others.So, what are you waiting for? Attend this interaction with this multi-talented star and take a few steps towards a happy, fulfilling and successful life of your dreams."
HIV: More horror hubs: Rehab home inmates cry torture,2018-06-18,HYDERABAD,"News,City News,Hyderabad News,Crime","HYDERABAD: If the state of affairs at the government-run mental hospital in Hyderabad came as a shocker, the city’s illegal rehabilitation and de-addiction centres might be an even scarier prospect for many. These centres are becoming hubs for physical and mental torture. Inmates allege that they are beaten up and tortured by the staff. They say they are crammed in dark and dingy rooms and go through a traumatic time.With no proper scanner, the addiction treatment industry has become fairly unregulated with little oversight into the daily practices that take place at the illegal facilities, activists said.Sharing his ordeal, K Anand, an inmate from Kukatpally, said, “The inmates are treated worse than criminals at these illegal rehabilitation centres. I was not even allowed to talk to my family. I once slit my wrist thinking that this act of mine would prompt them to let me speak to my relatives. I sometimes felt it would have been better had they put me in a jail instead of a deaddiction centre.”Anand who is now waging a campaign against de-addiction centres says how most of them do not even have a qualified psychiatrist to treat addicts and they get away because of lack of effective monitoring mechanisms. Anand further explained how the inmates are beaten up with pipes, stuffed along with others into small rooms, made to clean an entire floor with a toothbrush or made to sit facing a wall without food and water for an entire day.“There are several cases where the inmates, unable to bear the torture, commit suicide,” Anand said.Another victim of such extreme torture was G Venkateshwar Rao. He was locked up in a de-addiction centre, refused food and denied even a call to his mother.He says he felt like a dead man for about eight years. For him, the battle was just not against the alleged torture in the six or seven de-addiction centres where he was shunted about, but also against an HIV infection and devastating tuberculosis blight.R Rajendra Prasad, father of a former addict, says, “Those admitted to these centres already have a problem. Why should we hurt them further? My son and many others were locked in dark rooms for days together, beaten, abused, and were kept away from their families.” He added that some of the centres have a licence for 15 or 30 beds, but they admit over 100 people.Dr Uma Shankar, superintendent, Institute of Mental Health, said, “Earlier, we had no permission from the government to inspect these places. It is still difficult to stop unauthorised de-addiction centres because even if their license was cancelled, they start a new centre with a new name in a different place”."
Photo: House-hunt end signals start of an HIV+ dream,2018-06-18,"TimesView This is a real sunshine story. Congratulations are in order for the property owners who have risen above such evidently widespread — but completely unfounded — prejudice. We hope the rest of the city learns from this; these kids deserve all our support in their struggle.

KOLKATA","News,City News,Kolkata News","TimesView This is a real sunshine story. Congratulations are in order for the property owners who have risen above such evidently widespread — but completely unfounded — prejudice. We hope the rest of the city learns from this; these kids deserve all our support in their struggle.

KOLKATA: Cafe Positive, a dream of 10 HIV-positive teenagers, has finally found an address.The 12ft-by-10ft garage at Jodhpur Park was finalised after a six-month search for space in some of south Kolkata’s posh localities yielded a straightaway “no” from house-owners when they learnt about who will manage and run the shop.At 524 Jodhpur Park, a senior official of a leading national ayurvedic firm and an honorary member of Rotary Club of Calcutta has offered his garage space to the teenagers from where they plan to start the café in July. “I was initially a bit hesitant to offer my garage space as it is much smaller than what they were looking for. But after learning that they had failed to manage any space in over six months, I told them to start their business from here. This can be the beginning from where they can spread their wings. I am happy to be a part of this noble initiative,” said Indrajyoti Dasgupta.Dasgupta, who has moved his car out of the garage for the café, is yet to find an alternate parking space.TOI had reported on March 5 how six boys and four girls, who have undergone training in baking, sandwich-making and coffee and mocktail preparations, aspired to start their own coffee shop at some location in south Kolkata but were turned down by house-owners.“We faced strange reasons from people for refusing space to these kids. While some said their family members were not ready, others said people in the neighbourhood wouldn’t allow them to run a business with HIV-positive patients. But we are thankful to have finally found space. It is a much smaller space than what we were looking for, but at least the kids can start from here,” said Kallol Ghosh, founder of Anandaghar, a shelter for abandoned HIV/AIDS-infected children at Narendrapur.N GO Anandaghar will give the initial funds and later hand over the management of the café to the 10 youths, who would be running it.The café is scheduled to start from July 14, coinciding with Rath Yatra. “We will begin with an assortment of hot and cold coffees, mocktails and mojitos, and at least four types of cakes, veg and non-veg sandwiches and cookies. For now, we will bank more on takeaway service till we get a bigger place with a larger seating capacity,” said Susanta Pal (name changed), one of the 10 youths.“It has been a long wait. At one time, we thought we would never get space for our shop after being rejected by several house-owners. But now that we have finally managed one, I am happy and looking forward to a better future. We will be able to wipe off the taboos associated with the disease we suffer from with day-to-day interaction with our customers,” said Sathi Biswas (name changed), another member."
‘State failed to release Rs 323-cr fund’,2018-06-18,Thiruvananthapuram,,"Thiruvananthapuram: The CAG report on social sector for the year ending 2017, which was tabled in the assembly, pointed out serious deficiencies in providing delivery services to women, setting up facilities for infants at delivery points and the shortfall in infrastructure.It also found that the state hadn’t released its share of the National Health Mission (NHM) funds allotted by the Centre from 2012 to 2017. The audit observed that the state failed to release Rs 323.22 crore during this period and this was not communicated to the Centre. Though guidelines stipulate that state share should be increased every year, there was no information on the increase in the state’s expenditure corresponding to the central expenditure.The report pointed out that caesarean procedures in Kerala were way above the national average. Against the national average of 17.2%, data obtained from the directorate of health services showed that 40-42% of deliveries in Kerala were C-sections in the said period. “The government accepted that the state average (of C-section deliveries) was high and admitted that it was a shameful situation,” the report said.Other major findings of the report are that over 12% of 24.95 lakh pregnant women – who registered for antenatal care – did not receive iron and folic acid tablets. There was shortfall in the percentage of women who received tetanus toxoid shots. It also found that 37% of 24.95 lakh pregnant women were not tested for HIV. Delivery facilities were available only in 15 of the test-checked 65 institutions in select districts like Wayanad, Malappuram, Thrissur and Alappuzha."
Recurring pain can be first sign of sickle cell disease,2018-06-19,HYDERABAD,"News,City News,Hyderabad News,Civic Issues","HYDERABAD: Advising patients to watch out for periodic episodes of pain, called ‘crises’, doctors say these are a major symptom of sickle cell anaemia. Other warning signs include fatigue, fever and unexplained swelling, they said while speaking on the occasion of World Sickle Cell Day.Doctors say sickle cell anaemia, caused by a mutation in the haemoglobin-Beta gene, can bring with it a host of consequences from strokes and organ damage to vision problems and eventual blindness. Awareness needs to be created about the disease to bring down morbidity rates associated with it in the city, say doctors.“A fatal stroke can occur if sickle cells block blood flow to an area of your brain. Sickle cell anaemia can also cause life-threatening complications like acute chest syndrome, pulmonary hypertension, organ damage, leg ulcers and gallstones. Sickle cells can also block the tiny blood vessel that are connected to one’s eyes. Over time, this can damage the retina and lead to blindness,” warned Dr Sonali Ashok Sadawarte, consultant haemato-oncologist and bone marrow transplant physician at KIMS Hospitals in Secunderabad.Doctors also point out how patients suffering from sickle cell anaemia often require recurring blood transfusions, making them at risk of contracting diseases such as HIV Hepatitis B and C and Malaria, from unscreened blood.“There is an urgent need to create awareness on the disease and the prevention measures given that the only cure is bone marrow transplantation, in cases where the patient has managed to find a matching donor. Hence tests like carrier screening, new born screening and pre-natal diagnosis, which help in early diagnosis and prevention, should be made accessible. It is also very important to provide genetic counselling to patients before even offering them any advice to enable them to understand the disease, implications and management,” said Dr Rahul Agarwal, consultant, internal medicine at MaxCure Hospitals in Madhapur."
Quota to be sought for sickle cell patients,2018-06-20,NAGPUR,"News,City News,Nagpur News","NAGPUR: The problems people suffering from sickle cell disease face will be taken up with the government in right earnest and efforts made to get it recognized so that various facilities could be made available to them, said Dr Uday Bodhankar, president of Commonwealth Association for Health and Disability, on Tuesday.Besides seeking official recognition to the sickle cell disease on the lines of polio and acquired immune deficiency syndrome (AIDS), the issue of giving these patients reservation in education and jobs will be pursued with the government, Dr Bodhankar said. He was speaking at a programme organized by Sickle Cell Society of India at Mor Bhavan, Sitabuldi.The event was held to mark World Sickle Cell Day and create awareness about the disease.In his address, Dr Ganju said the sickle cell disease should be eradicated as early as possible as over 50 lakh sufferers are leading a painful life in India. The disease is transferred from parents to child. If both are carriers of these genes, the child becomes a victim of this life-threatening disease. Constant hydration, avoiding exhaustion and improving supply of oxygen to body are therefore important for such patients, he added.Sickle cell disease is a genetic disorder wherein red blood cells of the patient morph and take the shape of a sickle. These misshapen cells then have trouble freely moving around the blood stream and often clot and get stuck, causing extreme pain to the patient which can lead to life-threatening condition. This disease has no cure as of today, and the only relief from it is medicines and painkillers.Jaya, wife of Padma Shri recipient Sampat Ramteke, who founded the society, said her husband championed the cause of sickle cell patients after their son was diagnosed with the disease and worked hard for government to recognize this as a serious disease like polio and AIDS. She has been continuing her husband’s mission even after his death.(Reporting by Ritika Gupta)"
"HIV+ women, widow to get dairy booths in Rajasthan",2018-06-22,JAIPUR,"News,City News,Jaipur News","JAIPUR: This year Jaipur Municipal Corporation (JMC) will give preference in allotting the dairy booths to the women suffering from HIV+, cancer or a widow. They will be allotted one booth in every ward in the Jaipur city.Chief minister Vasundhara Raje had declared that 5,000 dairy booths will be opened in the state for the women out of which 1,000 will be in Jaipur city. This will be done to empower women and to raise employment opportunities for them.Along with this, there are even plans to open a single window for licensing in the JMC office as the complaints of the public towards the authorities related to the issue of licensing for dairy booths are rising in number.This plan is made to keep a check on the officials so that problem will not be created for the general public. Jaipur city is divided into eight zones and at present in every zone a junior engineer (JEN) look after the matter but after the implementation of single window, soon two JEN and two clerks will look after the matters of four zones each in the office to be allotted in the JMC.Mayor Ashok Lahoti said, “The decision to open a single window is taken to make the licensing scheme more transparent. There is a plan to open 1,000 new dairy booths in the city and new licenses will be given only to the ladies as per the social welfare scheme announced by the chief minister Vasundhara Raje. In all the 91 wards, we have planned to give one dairy booth to the women suffering from AIDS, cancer or is a widow, to help them earn a decent living.”To increase the competition in the state regarding the milk sale JMC has even planned to give 100 booths to the Amul dairy which will also be the company’s first entry in Rajasthan The chairman of the licensing committee Mahesh Kalwani told TOI that the proposal for single window for licensing is made to give proper shape to the plans of chief minister Vasundhara Raje. “I have met many people who have complained about the red tap-ism and corruption that is rampant during the time of license issuing. Even all the applications do not reach us as the officials send applications of those that fulfils their interests and pockets. When the work will start here then we can check for any discrepancies while issuing the order” said that Kalwani."
Life like 3D mini brains for drug testing developed,2018-05-30,WASHINGTON,News,"WASHINGTON: Scientists have developed a life like 3D mini brain containing all six major cell types found in normal organs including neurons and immune cells that could help study diseases and tests new drugs.In a study published in the journal 'Scientific Reports', researchers reported that their advanced 3D organoids promote the formation of a fully cell based, natural and functional barrier - the blood brain barrier that mimics normal human anatomy.The blood brain barrier is a semipermeable membrane that separates the circulating blood from the brain, protecting it from foreign substances that could cause injury.This development is important because the model can help to further understanding of disease mechanisms at the blood brain barrier, the passage of drugs through the barrier, and the effects of drugs once they cross the barrier.""The shortage of effective therapies and low success rate of investigational drugs are due in part because we do not have a human-like tissue models for testing,"" said Anthony Atala, director of Wake Forest Institute for Regenerative Medicine (WFIRM) in the US.""The development of tissue engineered 3D brain tissue equivalents such as these can help advance the science toward better treatments and improve patients' lives,"" said Atala.The development of the model opens the door to speedier drug discovery and screening, both for neurological conditions and for diseases like HIV where pathogens hide in the brain and avoid current treatments that cannot cross the blood brain barrier.It may also allow for disease modeling of neurological conditions such as Alzheimer's disease, multiple sclerosis and Parkinson 's disease so that researchers can better understand their pathways and progression.Thus far the researchers have used the brain organoids to mimic strokes in order to measure impairment of the blood brain barrier and have successfully tested the model's permeability with large and small molecules.""Using an engineered tissue model provides a platform that can be used to understand the fundamental principles at play with the blood brain barrier and its function, as well as the effects of chemical substances that cross it,"" said Goodwell Nzou , a PhD candidate at WFIRM."
Knife painting artist does live art at a shelter home in Panvel,2018-06-23,NAVI MUMBAI,"News,City News,Navi Mumbai News","NAVI MUMBAI: Acclaimed artist Sara Hussain (37), who is known for her knife painting works on canvas, did a live event at the New Panvel-based shelter home of Social and Evangelical Association for Love (SEAL) on Friday.“Artist Sara Hussain has mastered the artform of knife painting – which is essentially painting with a knife instead of paintbrush. She kick-started the programme series called Caravan, by doing a live painting show at SEAL. Here, she depicted a street scene with several people in it,’’ said SEAL activist S Jainamma.The programme was inaugurated by the former chairman of Navi Mumbai Municipal Transport (NMMT) Sasi Damodaran. One of the main organisers, Dr Alexander Martin, of ‘Talents On Display’ group said, “We will plan of similar live painting events in other parts of the city, including Dr D Y Patil Institute of Biotechnology, Gold Crest High School, among others. A part of the proceeds will go towards the cause of homeless people.’’ Dr Martin also works as a psychiatrist at the shelter home.Celebs like Sachin Tendulkar , Nita Ambani among others have also appreciated artist Sara Hussain in the recent past.The SEAL director, Pastor K M Philip, said they are pleased that this famous artist chose to begin her series of live event with their shelter home as she too is compassionate for the cause of homelessness issue. Jainamma added that it is symbolic that Sara Hussain does knife painting, while hundreds of homeless persons are also literally living on the knife’s edge, struggling to survive on the streets.Presently the SEAL shelter home has 254 people, mainly HIV and TB patients, mentally challenged, handicapped, visually impaired and fully orphaned, leading a meaningful life.So far, SEAL could reunify 333 people back to their long waiting families to all over India."
State takes a leaf from ‘Udta Punjab’ for de-addiction ideas,2018-06-23,AHMEDABAD,"News,City News,Ahmedabad News,Civic Issues","AHMEDABAD: While the menace of drugs is worrying sections of society in Gujarat, as its discreet tentacles spread among the youth, state-based experts decided to turn to Punjab, a state with a high rate of the population undergoing rehabilitation, to understand how intervention can be planned and what strategies can be employed to counter the drug menace.A workshop was organized by the United Nations Office on Drugs and Crime (UNODC) and Gujarat State AIDS Control Society (GSACS) in Ahmedabad from June 18 to 22 as part of Unified Budget, Results and Accountability Framework (UBRAF) project where experts included psychiatrists from AIIMS and Punjab’s AIDS Control Society.Dr Rajesh Gopal, joint director of GSACS, said that the idea was to strengthen state-based intervention centres — two located in Surat and one in Ahmedabad — with special focus on opioid substitution treatment (OST). “A team from Gujarat had recently visited rehabilitation and intervention centres in Punjab. They shared their learning with the participants. One of the major thrust areas is community outreach and timely help,” he said. The team that visited Punjab said that the first lesson is acceptance of the issue and readiness to change the situation. The majority of addicts are in the working age group and there is overwhelming number of men addicted to natural and synthetic drugs. Experts also pointed out that instead of taking patients completely off drugs, they devise a programme that gradually decreases the dosage. Madhu Sharma, national programme officer for India, UNODC, said that they have involved all stakeholders in the fight against drugs. “The training will not only enable intervention centres to improve techniques but will also reach social workers, NGOs and families. Psychiatrists, de-addiction specialists and those implementing national and local intervention programmes participated,” she said."
HIV: Most people with STDs in country are from Telangana and Andhra Pradesh,2018-06-23,HYDERABAD,"News,City News,Hyderabad News","HYDERABAD: Telangana and Andhra Pradesh have reported the highest number of people with sexually-transmitted diseases in the country, according to National Health Profile of India 2018.The report says, in 2016 around 8,056 cases of syphilis, that amount to 35 per cent of total cases, was reported in Telangana alone. In 2017, Andhra Pradesh reported the highest number of syphilis cases: around 5,155. For gonorrhoea, Telangana reported the highest number of cases (19,884) followed by AP in 2016; in 2017 AP recorded highest in the country.Centre has released the report on the health profile of various states on June 19. Health experts disagree with the Centre.Robotic urologist and microsurgical andrologist Dr Kammela Sridhar said, “Promiscuity is high in the two states. Genital hygiene and nonuse of condom and improper use of condom are general factors. Homosexuality has increased. The risk of transmitting STDs and HIV is 16 times more in homosexuals.”According to National Health Profile of India 2018, Telangana and AP have reported the highest number of people with sexually-transmitted diseases in India.Robotic urologist and microsurgical andrologist Dr Kammela Sridhar said, “In Telangana and AP obesity is highest in the country. Due to fat in the body, the immune system is less effective. Due to heavy sweating, particularly in AP coast, genital hygiene is affected. Tamil Nadu has worked well to bring down STDs and HIV.”However, dermatologists say figures by Union health ministry should be relooked into and could be defective.Dermatologist Dr George Valsan of Sarada Hospital in Sainikpuri says, “We have been receiving a number of cases of syphilis and gonococcal infections. In 8,000-10,000 patients, I get two or three cases of gonorrhoea a year. Syphilis has also drastically increased. Around 4-5 cases are reported a month. Maybe, more cases are reported in government hospitals. But the figures put out by the Centre should be revisited. HIV infections are there. Almost 65% are fungal infections like candidiasis, and viral infections like herpes simplex have increased.”In January 2018, an Osmania and Gandhi Medical College and ICMR-National AIDS Research Institute, Pune, study found that multi-drug resistant strains of gonorrhoea were seen. At least 20 cases in Secunderabad and 16 in Hyderabad, verified by researchers, were found. A total of 98% isolates of gonorrhoea were resistant to ciprofloxacin, 52% to penicillin, 56% tetracycline and 5% azithromycin.AP also recorded highest number of acute respiratory infection deaths and cases after UP. In 2017, due to acute respiratory infections, 324 people died in AP and 26 in Telangana."
chinese cancer warriors: Chinese cancer warriors to get helping hand from India,2018-07-10,BEIJING,"News,India News","BEIJING: Days after the release of the Chinese movie ‘Dying to Survive’, based on the real-life story of a leukaemia patient who smuggled cheap anti-cancer drugs from India for people who could not afford expensive western drugs, the two countries have reached an agreement on reduction of tariffs on the import of Indian medicines, particularly cancer drugs, to China.“We believe expansion of imports and slashing of tariffs on anti-cancer medicines will usher in great opportunities for India and other countries in the region,” said Chinese foreign ministry spokesperson Hua Chunying on Monday. Last May, China lifted tariffs on the import of cancer drugs. But the move did not excite the Indian industry because they need licenses and tendering support from government hospitals to sell the drugs in China. This kind of support was not forthcoming until now. It is not clear if the foreign ministry is referring to the decision last May or this is a new development.Other details about the extent of tariff cuts and types of anti-cancer drugs and sources of drugs that would be affected were also not immediately available from official sources.It is possible that Beijing will encourage Indian companies to establish manufacturing of anti-cancer drugs, particularly those that are off patents, in China instead of depending on imports. China has allowed some Indian companies to establish production facilities from medicines to covering other diseases but no licence has been given to them for anticancer drug manufacturing.About 4.3 million people are diagnosed with cancer annually in China, according to a report of the state-run China Central Television . While announcing the agreement, Hua also referred to the film. ‘Dying to Survive’ is based on Lu Yong, a leukaemia patient, was himself inspired by the Oscar-winning film ‘Dallas Buyers Club’, which is also based on a reallife story of an AIDS patient called Ron Woodroof who smuggled unapproved drugs into Texas to treat himself and others. 'Dying to Survive', which was partly shot in Mumbai, opened with a massive $151 million and its total collection by Sunday stood fractionally short of $200 million, according to a popular website tracking movie business.Between 2006 and 2013, Lu helped hundreds of chronic myeloid leukemia patients buy a generic drug produced in India for around 200 yuan ($30) per month, which claims to be as effective as the foreign drug but costs more than 20,000 yuan (over $3,100) each month. However, it is not yet clear from Monday’s announcement whether China has agreed to grant licence to Indian companies to sell cancer drugs in the Chinese market, which could be a major step. Indian companies cannot legally market their drugs in China as it requires a licence from the country’s food and drug administration."
RTE opens school gates for 68 HIV positive kids in MP,2018-07-11,BHOPAL,"News,India News","BHOPAL: As many as 68 HIV-positive children have got admission in private schools in Madhya Pradesh under RTE — a first for the state and perhaps the country.Officers of the school education department told TOI that they will not reveal the identity of these kids to schools as it was a sensitive issue.In May last year, the Supreme Court had asked all states to include HIV+ kids in disadvantaged category and give them RTE benefits."
