name,date,location,Lat,Long
Folk art aids in dispelling stigma and creating awareness,"January 22, 2013",TAMIL NADU,11.127123,78.656891
HIV/AIDS awareness campaign flagged off,"January 22, 2013",TAMIL NADU,11.127123,78.656891
We have delivered on promises: Sheila,"January 26, 2013",Delhi,28.70406,77.102493
"CUK, IGNOU to host seminar on HIV/AIDS","January 28, 2013",KERALA,10.850516,76.27108
HIV/AIDS-hit form state federation,"January 29, 2013",ANDHRA PRADESH,15.9129,79.73999
Awareness seminar on AIDS,"February 03, 2013",TAMIL NADU,11.127123,78.656891
Hyderabad Youth Assembly,"February 03, 2013",ANDHRA PRADESH,15.9129,79.73999
A household name in rural Srikakulam,"February 04, 2013",ANDHRA PRADESH,15.9129,79.73999
Aid for HIV-affected,"February 04, 2013",KERALA,10.850516,76.27108
"Not only women, men too are victims: Sri Sri Ravi Shankar","February 04, 2013",Delhi,28.70406,77.102493
Donate blood to save poor patients: MP,"January 11, 2013",ANDHRA PRADESH,15.9129,79.73999
â€˜People with HIV shouldnâ€™t hesitate to seek treatmentâ€™,"January 11, 2013",KARNATAKA,15.317277,75.71389
Declining numbers are a positive sign,"December 20, 2012",KARNATAKA,15.317277,75.71389
How to keep HIV at bay?,"December 20, 2012",KARNATAKA,15.317277,75.71389
Waging a tough battle against social stigma,"December 17, 2012",KERALA,10.850516,76.27108
State puts up good fight against HIV,"December 01, 2012",TAMIL NADU,11.127123,78.656891
â€˜Zeroâ€™ is the message this World AIDS Day,"December 02, 2012",TAMIL NADU,11.127123,78.656891
Student database project worries parents,"December 19, 2012",Chennai,13.08268,80.270721
Engagements,"December 06, 2012",TAMIL NADU,11.127123,78.656891
"Rallies, meetings mark World AIDS Day","December 02, 2012",ANDHRA PRADESH,15.9129,79.73999
57% reduction in new HIV infections in last decade,"December 01, 2012",NEW DELHI,28.632429,77.218788
People with HIV/AIDS demand insurance cover,"December 01, 2012",NEW DELHI,28.632429,77.218788
World Aids Day message,"December 01, 2012",TAMIL NADU,11.127123,78.656891
Pollachi GH to have full-fledged ART Centre,"December 01, 2012",TAMIL NADU,11.127123,78.656891
Study reveals drop in incidence of HIV,"December 01, 2012",ANDHRA PRADESH,15.9129,79.73999
HIV is as manageable as diabetes or hypertension: doctor,"December 01, 2012",KARNATAKA,15.317277,75.71389
New infections in general population a challenge,"December 01, 2012",KERALA,10.850516,76.27108
Tamil Nadu puts up good fight against HIV,"December 01, 2012",Tamil Nadu,11.127123,78.656891
HIV is as manageable as diabetes or hypertension: doctor,"December 01, 2012",Karnataka,15.317277,75.71389
People with HIV/AIDS demand insurance cover,"December 01, 2012",Delhi,28.70406,77.102493
57% reduction in new HIV infections in last decade,"December 01, 2012",Delhi,28.70406,77.102493
UNICEF focus on treatment of HIV {++} pregnant mothers to curb AIDS,"December 03, 2012",NEW DELHI,28.632429,77.218788
UNICEF focus on treatment of HIV {++} pregnant mothers to curb AIDS,"December 02, 2012",NEW DELHI,28.632429,77.218788
AIDS awareness rallies taken out,"December 02, 2012",TAMIL NADU,11.127123,78.656891
â€˜Drop in HIV/AIDS cases in Stateâ€™,"December 02, 2012",ANDHRA PRADESH,15.9129,79.73999
Efforts on to check vertical transmission of HIV,"December 02, 2012",KARNATAKA,15.317277,75.71389
Run to create awareness about AIDS,"December 03, 2012",NEW DELHI,28.632429,77.218788
SALEM,"December 03, 2012",TAMIL NADU,11.127123,78.656891
"Over 2,600 AIDS patients getting treatment in Villupuram","December 03, 2012",TAMIL NADU,11.127123,78.656891
Physician for compulsory test for HIV/AIDS,"December 03, 2012",ANDHRA PRADESH,15.9129,79.73999
State has adult HIV prevalence rate of 0.52,"December 03, 2012",KARNATAKA,15.317277,75.71389
AIDS incidence down,"December 03, 2012",TAMIL NADU,11.127123,78.656891
Karnataka has adult HIV prevalence rate of 0.52,"December 03, 2012",Karnataka,15.317277,75.71389
â€˜Bad nameâ€™ still haunts truck drivers,"December 03, 2012",TAMIL NADU,11.127123,78.656891
World AIDS Day events,"December 01, 2012",KERALA,10.850516,76.27108
Rally to increase awareness on HIV-AIDS,"December 01, 2012",ANDHRA PRADESH,15.9129,79.73999
Lorry Girl to be screened today,"December 01, 2012",KERALA,10.850516,76.27108
World AIDS Day to be observed,"November 30, 2012",KERALA,10.850516,76.27108
Prevalence of HIV on the decline: official,"November 30, 2012",KARNATAKA,15.317277,75.71389
VIJAYAWADA TODAY,"December 01, 2012",ANDHRA PRADESH,15.9129,79.73999
MSC students take special HIV/AIDS pledge,"December 01, 2012",ANDHRA PRADESH,15.9129,79.73999
World AIDS Day today,"December 01, 2012",ANDHRA PRADESH,15.9129,79.73999
â€˜Zeroâ€™ is the message this World AIDS Day,"December 02, 2012",Chennai,13.08268,80.270721
The message is more relevant than ever,"December 02, 2012",Bengaluru,12.971599,77.594566
â€˜Drop in HIV/AIDS cases in Stateâ€™,"December 02, 2012",Hyderabad,17.385044,78.486671
UNICEF focus on treatment of HIV pregnant mothers to curb AIDS,"December 02, 2012",Delhi,28.70406,77.102493
Stress on treating HIV patients with compassion,"December 02, 2012",Madurai,9.925201,78.119774
Spreading Aids awareness,"December 02, 2012",Mangaluru,12.868,74.84269
Cycling for AIDS awareness,"December 02, 2012",Tiruchirapalli,,
Rallies mark World AIDS Day,"December 02, 2012",Visakhapatnam,17.686815,83.218483
Protection of health stressed,"December 02, 2012",Visakhapatnam,17.686815,83.218483
AIDS incidence down,"December 02, 2012",TAMIL NADU,11.127123,78.656891
Collector hopes AIDS will have a cure soon,"December 02, 2012",ANDHRA PRADESH,15.9129,79.73999
Stress on treating HIV patients with compassion,"December 02, 2012",TAMIL NADU,11.127123,78.656891
â€˜Extend moral support to HIV-positive peopleâ€™,"December 02, 2012",ANDHRA PRADESH,15.9129,79.73999
AIDS Day message: stop discrimination,"December 02, 2012",KERALA,10.850516,76.27108
World AIDS Day observed,"December 02, 2012",TAMIL NADU,11.127123,78.656891
Tamil Nadu puts up good fight against HIV,"December 02, 2012",Tamil Nadu,11.127123,78.656891
Mysore sees fall in incidence of HIV/AIDS,"December 02, 2012",KARNATAKA,15.317277,75.71389
Redouble efforts to achieve HIV-free society: Magunta,"December 02, 2012",ANDHRA PRADESH,15.9129,79.73999
People with HIV demand insurance cover,"December 02, 2012",NEW DELHI,28.632429,77.218788
57% reduction in new HIV infections in last decade,"December 02, 2012",NEW DELHI,28.632429,77.218788
The message is more relevant than ever,"December 02, 2012",KARNATAKA,15.317277,75.71389
"Over 2,600 AIDS patients getting treatment in Villupuram","December 02, 2012",TAMIL NADU,11.127123,78.656891
Run to create awareness about AIDS,"December 03, 2012",Delhi,28.70406,77.102493
â€˜Greater awareness needed on HIVâ€™,"December 05, 2012",KARNATAKA,15.317277,75.71389
A warm gesture by Canara Bank employees,"December 06, 2012",TAMIL NADU,11.127123,78.656891
FPAI opens exclusive evening clinic,"December 20, 2012",TAMIL NADU,11.127123,78.656891
A shining example of willpower,"December 14, 2012",Vijayawada,16.506174,80.648018
RSTCs open new vistas for destitute children,"December 15, 2012",ANDHRA PRADESH,15.9129,79.73999
"Violence against women stunts economic development, says U.S. Consul General","December 15, 2012",TAMIL NADU,11.127123,78.656891
"Violence against women stunts economic development, says U.S. Consul General","December 15, 2012",Tiruchirapalli,,
RSTCs open new vistas for destitute children,"December 15, 2012",Vijayawada,16.506174,80.648018
"Health officer told to ensure proper maintennce of PHCs, hospitals","December 12, 2012",KARNATAKA,15.317277,75.71389
Rallies mark World AIDS Day,"December 13, 2012",TAMIL NADU,11.127123,78.656891
A shining example of willpower,"December 14, 2012",ANDHRA PRADESH,15.9129,79.73999
Advocacy meet,"December 14, 2012",ANDHRA PRADESH,15.9129,79.73999
Students take out rally against AIDS,"December 15, 2012",Chennai,13.08268,80.270721
Steps on track to protect children's rights: Collector,"December 16, 2012",TAMIL NADU,11.127123,78.656891
Tansacs to triple number of private hospitals to detect HIV/AIDS cases,"December 16, 2012",TAMIL NADU,11.127123,78.656891
â€œMadurai safest place in State for transgenderâ€,"December 17, 2012",TAMIL NADU,11.127123,78.656891
"Cancer has genetic basis, says scientist","December 16, 2012",ANDHRA PRADESH,15.9129,79.73999
Spreading awareness on control of tuberculosis,"December 17, 2012",ANDHRA PRADESH,15.9129,79.73999
"â€˜Status of women, children grim in Indiaâ€™","December 10, 2012",KARNATAKA,15.317277,75.71389
Dancers seek help to stage programmes,"December 11, 2012",TAMIL NADU,11.127123,78.656891
Cycle rally on AIDS awareness held,"December 10, 2012",TAMIL NADU,11.127123,78.656891
OU students counsel slum-dwellers on AIDS,"December 11, 2012",ANDHRA PRADESH,15.9129,79.73999
Special housing quota for single women proposed,"December 17, 2012",NEW DELHI,28.632429,77.218788
Clients vouch for positive impact of counselling,"December 20, 2012",KARNATAKA,15.317277,75.71389
Student database project worries parents,"December 20, 2012",TAMIL NADU,11.127123,78.656891
Drop in enrolments at Ampapuram driving school,"December 11, 2012",ANDHRA PRADESH,15.9129,79.73999
Counsellors for HIV have a challenging job,"December 20, 2012",KARNATAKA,15.317277,75.71389
OU students counsel slum-dwellers on AIDS,"December 11, 2012",Hyderabad,17.385044,78.486671
Drop in enrolments at Ampapuram driving school,"December 11, 2012",Vijayawada,16.506174,80.648018
Men in State shy away from family planning,"December 21, 2012",KARNATAKA,15.317277,75.71389
FPAI opens exclusive evening clinic,"December 20, 2012",Madurai,9.925201,78.119774
Men in State shy away from family planning,"December 21, 2012",Karnataka,15.317277,75.71389
Christmas heralds cheer for special children,"December 22, 2012",TAMIL NADU,11.127123,78.656891
Braving the odds for a â€˜positiveâ€™ life,"December 22, 2012",TAMIL NADU,11.127123,78.656891
â€œMadurai safest place in State for transgenderâ€,"December 17, 2012",Madurai,9.925201,78.119774
Publicity vehicle on HIV flagged off,"December 19, 2012",ANDHRA PRADESH,15.9129,79.73999
Spreading awareness on control of tuberculosis,"December 17, 2012",Vijayawada,16.506174,80.648018
Lectures for doctors,"December 19, 2012",KARNATAKA,15.317277,75.71389
Student database project worries parents,"December 19, 2012",TAMIL NADU,11.127123,78.656891
"Fearing stigma, HIV patients miss the bus","December 19, 2012",NEW DELHI,28.632429,77.218788
Awareness walk,"December 06, 2012",KARNATAKA,15.317277,75.71389
Programme on AIDS,"December 07, 2012",TAMIL NADU,11.127123,78.656891
Gay and MSM community support group for opportunities,"December 09, 2012",TAMIL NADU,11.127123,78.656891
Palliative care project to be implemented in all districts,"December 10, 2012",TAMIL NADU,11.127123,78.656891
Training meet on parent-to-child transmission of HIV/AIDs,"January 12, 2013",ANDHRA PRADESH,15.9129,79.73999
â€œNeed to sensitise judges for speedy justiceâ€,"January 13, 2013",NEW DELHI,28.632429,77.218788
Sensitizing the youth against HIV/AIDS,"January 13, 2013",Bengaluru,12.971599,77.594566
Schools directed not to deny admission to HIV children,"January 17, 2013",NEW DELHI,28.632429,77.218788
A quarter of a century in the service of art,"January 17, 2013",KARNATAKA,15.317277,75.71389
Christmas spirit all pervading,"December 26, 2012",KARNATAKA,15.317277,75.71389
Welfare assistance worth Rs.41.53 lakh distributed,"December 27, 2012",TAMIL NADU,11.127123,78.656891
Patient leaps to death from NIMS,"December 27, 2012",ANDHRA PRADESH,15.9129,79.73999
Kicking off soccer dreams,"December 28, 2012",Delhi,28.70406,77.102493
People living with HIV can avail of assistance,"December 30, 2012",TAMIL NADU,11.127123,78.656891
People living with HIV can avail of assistance,"December 30, 2012",Tiruchirapalli,,
Mono act artistes echo contemporary issues,"December 31, 2012",KERALA,10.850516,76.27108
HIV positive persons can avail of aid under farmers protection scheme,"December 31, 2012",TAMIL NADU,11.127123,78.656891
New regime to reduce mother-to-child transmission,"January 02, 2013",KARNATAKA,15.317277,75.71389
HIV/AIDS awareness drive launched,"January 05, 2013",TAMIL NADU,11.127123,78.656891
AIDS awareness campaign begins,"January 05, 2013",TAMIL NADU,11.127123,78.656891
Rise in blood donation,"January 05, 2013",TAMIL NADU,11.127123,78.656891
Youth drive helps rise in blood donation,"January 06, 2013",TAMIL NADU,11.127123,78.656891
Winners of contests receive prizes,"January 06, 2013",TAMIL NADU,11.127123,78.656891
Folk artistes to take AIDS awareness messages to people in Ooty,"January 06, 2013",TAMIL NADU,11.127123,78.656891
Large heap of biomedical waste found dumped in Kochi city,"January 07, 2013",KERALA,10.850516,76.27108
Early screening can prevent transmission of HIV-AIDS from mother to child,"January 07, 2013",TAMIL NADU,11.127123,78.656891
Biomedical waste found dumped in heart of Kochi,"January 07, 2013",Kochi,9.931233,76.267303
UGC sanctions project to study sexual integrity of adolescents,"December 23, 2012",TAMIL NADU,11.127123,78.656891
Training for educators on handling street children,"December 23, 2012",TAMIL NADU,11.127123,78.656891
Five villages identified for stepping up awareness on TB,"December 23, 2012",KARNATAKA,15.317277,75.71389
UGC sanctions project to study sexual integrity of adolescents,"December 23, 2012",Madurai,9.925201,78.119774
"Ho, ho, ho! Playing the jolly old man","December 24, 2012",TAMIL NADU,11.127123,78.656891
"Ho, ho, ho! Playing the jolly old man","December 24, 2012",Tiruchirapalli,,
AIDS awareness through folk media,"January 08, 2013",ANDHRA PRADESH,15.9129,79.73999
AIDS awareness created,"January 08, 2013",TAMIL NADU,11.127123,78.656891
Making Christmas celebrations meaningful,"December 25, 2012",TAMIL NADU,11.127123,78.656891
Folk artistes to extend their help to combat AIDS threat in Salem,"January 09, 2013",TAMIL NADU,11.127123,78.656891
"Drop in prevalence of HIV, says official","January 09, 2013",ANDHRA PRADESH,15.9129,79.73999
State to be free of HIV positive children by 2015,"January 10, 2013",ANDHRA PRADESH,15.9129,79.73999
Blood donation calendars needed,"January 10, 2013",ANDHRA PRADESH,15.9129,79.73999
Missing out on the essentials of life,"January 10, 2013",KERALA,10.850516,76.27108
AP to be free of HIV positive children by 2015,"January 10, 2013",Vijayawada,16.506174,80.648018
New regime to reduce mother-to-child transmission,"January 02, 2013",Karnataka,15.317277,75.71389
TANSACS takes to folk arts to create awareness,"January 03, 2013",TAMIL NADU,11.127123,78.656891
Using puppetry for AIDS awareness,"January 03, 2013",TAMIL NADU,11.127123,78.656891
Engagements,"January 03, 2013",TAMIL NADU,11.127123,78.656891
"Now, cultural events to create HIV/AIDS awareness","January 04, 2013",TAMIL NADU,11.127123,78.656891
Ph.D awarded,"January 04, 2013",ANDHRA PRADESH,15.9129,79.73999
Rural focus,"January 04, 2013",TAMIL NADU,11.127123,78.656891
Paper mill staff to stage street play,"November 28, 2012",ANDHRA PRADESH,15.9129,79.73999
HIV-positive man gets 25 yearsâ€™ jail for raping minor step-daughter,"September 15, 2012",NEW DELHI,28.632429,77.218788
HIV-positive man gets 25 yearsâ€™ jail for raping step-daughter,"September 15, 2012",NEW DELHI,28.632429,77.218788
Warangal doctor gets mention in Guinness,"October 09, 2012",ANDHRA PRADESH,15.9129,79.73999
Tiruchi Today,"October 11, 2012",TAMIL NADU,11.127123,78.656891
New drug to prevent HIV positive births,"October 11, 2012",ANDHRA PRADESH,15.9129,79.73999
Government benefits for HIV patients,"September 16, 2012",ANDHRA PRADESH,15.9129,79.73999
HIV-positive man gets 25 yearsâ€™ jail for raping minor step-daughter,"September 15, 2012",Delhi,28.70406,77.102493
HIV prevalence down among high risk groups,"September 18, 2012",ANDHRA PRADESH,15.9129,79.73999
Government mulling launch of Red Bus,"September 17, 2012",KARNATAKA,15.317277,75.71389
HIV prevalence down among high risk groups,"September 18, 2012",Hyderabad,17.385044,78.486671
Policemen urged to show right attitude,"October 14, 2012",ANDHRA PRADESH,15.9129,79.73999
"Work hard to achieve goal, students told","October 14, 2012",ANDHRA PRADESH,15.9129,79.73999
â€œIncidence of AIDS not alarmingâ€,"September 19, 2012",TAMIL NADU,11.127123,78.656891
Health cards for immigrant labourers,"September 20, 2012",KERALA,10.850516,76.27108
"New courses, new tie-ups","September 21, 2012",NEW DELHI,28.632429,77.218788
India seeks global funding for traditional medicines also,"September 19, 2012",NEW DELHI,28.632429,77.218788
"New courses, new tie-ups","September 20, 2012",NEW DELHI,28.632429,77.218788
Fever deaths cause dengue scare,"October 15, 2012",TAMIL NADU,11.127123,78.656891
"Spot it, report it: a suggestion at workshop on TB control","October 15, 2012",KERALA,10.850516,76.27108
"Two fever deaths later, dengue scare rife in city","October 14, 2012",TAMIL NADU,11.127123,78.656891
"Pension for TB, cancer and HIV patients","October 17, 2012",TAMIL NADU,11.127123,78.656891
"Students taken to Parliament House, witness proceedings","October 17, 2012",TAMIL NADU,11.127123,78.656891
Transgenders fight for their rights,"September 21, 2012",ANDHRA PRADESH,15.9129,79.73999
Transgenders fight for their rights,"September 21, 2012",Hyderabad,17.385044,78.486671
International Deaf Day today,"September 23, 2012",ANDHRA PRADESH,15.9129,79.73999
"Two fever deaths later, dengue scare rife in Chennai","October 14, 2012",Chennai,13.08268,80.270721
Rights of HIV victims are violated: study,"September 27, 2012",TAMIL NADU,11.127123,78.656891
Need felt for body dedicated to MTH cause,"September 28, 2012",ANDHRA PRADESH,15.9129,79.73999
"Low financial literacy among sex workers, a concern","September 29, 2012",KARNATAKA,15.317277,75.71389
Drug supply,"September 29, 2012",ANDHRA PRADESH,15.9129,79.73999
Jeevan sings the â€˜song of his lifeâ€™,"October 01, 2012",KERALA,10.850516,76.27108
Transgenders fight for their rights,"September 24, 2012",ANDHRA PRADESH,15.9129,79.73999
Need to check infant and maternal mortality stressed,"September 25, 2012",KARNATAKA,15.317277,75.71389
Archbishop objects to â€˜hurtfulâ€™ decision on Sumanahalli Society,"September 25, 2012",KARNATAKA,15.317277,75.71389
Archbishop objects to â€˜hurtfulâ€™ decision on Sumanahalli Society,"September 25, 2012",Bengaluru,12.971599,77.594566
Finding caregivers for orphans with HIV,"September 26, 2012",KARNATAKA,15.317277,75.71389
Special Dasara guests,"September 26, 2012",KARNATAKA,15.317277,75.71389
Ramdas stresses on religious harmony for Dasara,"September 26, 2012",KARNATAKA,15.317277,75.71389
Need to create more awareness on HIV/AIDS prevention stressed,"September 26, 2012",TAMIL NADU,11.127123,78.656891
"Concern over spread of dengue, malaria","October 20, 2012",KARNATAKA,15.317277,75.71389
On keeping the pets healthy,"October 20, 2012",Chennai,13.08268,80.270721
De-addiction centre anniversary,"October 02, 2012",KERALA,10.850516,76.27108
Advocacy initiatives for people living with HIV/AIDS,"October 02, 2012",TAMIL NADU,11.127123,78.656891
â€˜Coordination must to help HIV-affectedâ€™,"October 02, 2012",KARNATAKA,15.317277,75.71389
Photography with a potent message,"October 05, 2012",NEW DELHI,28.632429,77.218788
Awareness of HIV among unorganised labourers,"October 05, 2012",TAMIL NADU,11.127123,78.656891
Photography with a potent message,"October 05, 2012",Delhi,28.70406,77.102493
Alcoholism scourge of society: Minister,"October 07, 2012",KERALA,10.850516,76.27108
Sailing into sunset without pain through palliative care,"October 12, 2012",TAMIL NADU,11.127123,78.656891
â€˜Palliative care a human rightâ€™,"October 12, 2012",KERALA,10.850516,76.27108
Seminar on HIV/AIDS,"October 12, 2012",TAMIL NADU,11.127123,78.656891
Telgiâ€™s sentence upheld,"October 12, 2012",NEW DELHI,28.632429,77.218788
Training camp for panchayat chiefs focuses on differently abled,"October 13, 2012",TAMIL NADU,11.127123,78.656891
Two persons die of suspected dengue in city,"October 13, 2012",Tamil Nadu,11.127123,78.656891
Ramdas criticised,"October 23, 2012",KARNATAKA,15.317277,75.71389
A young achiever shows the way,"October 23, 2012",ANDHRA PRADESH,15.9129,79.73999
Ramdas criticised for inviting children with HIV to watch Dasara festivities,"October 23, 2012",Karnataka,15.317277,75.71389
â€˜Make medical care a basic rightâ€™,"October 25, 2012",KERALA,10.850516,76.27108
â€˜Make medical care a fundamental rightâ€™,"October 25, 2012",Kochi,9.931233,76.267303
State meet on tuberculosis tomorrow,"October 26, 2012",KERALA,10.850516,76.27108
Six migrants test HIV positive,"October 27, 2012",KERALA,10.850516,76.27108
Deepavali celebrations with HIV positive persons,"November 05, 2012",TAMIL NADU,11.127123,78.656891
"Wash hands, curb infection","October 27, 2012",Chennai,13.08268,80.270721
â€˜Merely clearing cases is not delivery of justiceâ€™,"November 04, 2012",KARNATAKA,15.317277,75.71389
Alarming drop in sex ratio in Dakshina Kannada,"November 07, 2012",Mangaluru,12.868,74.84269
Training programme for RRC programme officers,"November 07, 2012",TAMIL NADU,11.127123,78.656891
Protest against dumping of waste,"November 08, 2012",KERALA,10.850516,76.27108
Government doctor chairs session at international meet,"November 06, 2012",ANDHRA PRADESH,15.9129,79.73999
LGBT community cheers victory,"November 08, 2012",TAMIL NADU,11.127123,78.656891
Tihar official told to explain rules of prisonersâ€™ lodging,"November 06, 2012",Delhi,28.70406,77.102493
Tihar official told to explain rules governing lodging of prisoners,"November 06, 2012",NEW DELHI,28.632429,77.218788
Leprosy patients demand lease renewal of Sumanahalli land,"November 11, 2012",KARNATAKA,15.317277,75.71389
Protest against dumping of waste,"November 08, 2012",Kerala,10.850516,76.27108
DIET sensitises headmasters to life skills education,"November 09, 2012",TAMIL NADU,11.127123,78.656891
Patients travel 18 km for a blood test,"November 09, 2012",TAMIL NADU,11.127123,78.656891
LGBT community cheers victory,"November 08, 2012",Chennai,13.08268,80.270721
â€˜Role of media important in HIV preventionâ€™,"November 11, 2012",ANDHRA PRADESH,15.9129,79.73999
Separate funds sought for schemes for people living with HIV,"October 31, 2012",KARNATAKA,15.317277,75.71389
Medical camp organised,"November 01, 2012",ANDHRA PRADESH,15.9129,79.73999
Leprosy patients demand lease renewal of Sumanahalli land,"November 11, 2012",Bengaluru,12.971599,77.594566
An interfaith response to AIDS,"November 04, 2012",TAMIL NADU,11.127123,78.656891
NCC cadets take out AIDS awareness rally,"November 03, 2012",TAMIL NADU,11.127123,78.656891
Safer testing method introduced at blood bank,"October 21, 2012",KERALA,10.850516,76.27108
ART centre opened in RIMS,"October 21, 2012",ANDHRA PRADESH,15.9129,79.73999
Young magician on a mission,"October 21, 2012",ANDHRA PRADESH,15.9129,79.73999
New clothes distributed to HIV-infected,"November 13, 2012",TAMIL NADU,11.127123,78.656891
"Girl, relative face ostracism","November 16, 2012",KERALA,10.850516,76.27108
Mass membership drive under farmers protection scheme,"November 12, 2012",TAMIL NADU,11.127123,78.656891
Tiny tots celebrate their festival differently,"November 16, 2012",ANDHRA PRADESH,15.9129,79.73999
AIDS: no hiding place on island,"November 15, 2012",KARNATAKA,15.317277,75.71389
"We are with you, Childline assures HIV-AIDS children","November 16, 2012",TAMIL NADU,11.127123,78.656891
ASCON 2012 on November 23,"November 18, 2012",KARNATAKA,15.317277,75.71389
Tiny tots celebrate it differently,"November 16, 2012",Vijayawada,16.506174,80.648018
"We are with you, Childline assures HIV-AIDS children","November 16, 2012",Tiruchirapalli,,
State allocates funds to upgrade district hospitals,"November 19, 2012",Tamil Nadu,11.127123,78.656891
Chest physician-peace activist dead,"November 20, 2012",Tamil Nadu,11.127123,78.656891
Treatment of dengue at GH reviewed,"November 19, 2012",TAMIL NADU,11.127123,78.656891
A festival of learning for a global community,"November 20, 2012",TAMIL NADU,11.127123,78.656891
AIDS awareness programme yielding results in Bellary,"November 24, 2012",KARNATAKA,15.317277,75.71389
"NACP-IV aims at zero infection, zero death: official","November 24, 2012",Karnataka,15.317277,75.71389
Serving the needy is her motto,"November 24, 2012",Chennai,13.08268,80.270721
"Help for pregnant women, a click away","November 26, 2012",TAMIL NADU,11.127123,78.656891
"Help for pregnant women, a click away","November 26, 2012",Madurai,9.925201,78.119774
Working with HIV-positive persons in rural areas,"November 30, 2012",ANDHRA PRADESH,15.9129,79.73999
FPAI to renew focus on small family,"November 25, 2012",KARNATAKA,15.317277,75.71389
Doctors urged to document their work,"November 22, 2012",Chennai,13.08268,80.270721
Doctors urged to document their work,"November 22, 2012",TAMIL NADU,11.127123,78.656891
Getting an insight into their lives,"November 21, 2012",TAMIL NADU,11.127123,78.656891
A festival of learning for a global community,"November 21, 2012",TAMIL NADU,11.127123,78.656891
Udupi in yellow list for HIV/AIDS cases,"November 30, 2012",KARNATAKA,15.317277,75.71389
Let the games begin!,"November 21, 2012",KARNATAKA,15.317277,75.71389
Of learning via shared experiences,"November 23, 2012",TAMIL NADU,11.127123,78.656891
Of learning via shared experiences,"November 23, 2012",Chennai,13.08268,80.270721
High incidence of new HIV positive cases in Tirupur,"November 23, 2012",TAMIL NADU,11.127123,78.656891
Opening eyes to realise the vision of others,"September 09, 2012",TAMIL NADU,11.127123,78.656891
madurai today,"September 09, 2012",TAMIL NADU,11.127123,78.656891
Lions Club award for Kutikuppala Surya Rao,"September 08, 2012",ANDHRA PRADESH,15.9129,79.73999
Its storytelling that informs HIV-infected children of their disease,"September 09, 2012",TAMIL NADU,11.127123,78.656891
AIDS conference hub launched,"September 08, 2012",Chennai,13.08268,80.270721
It's storytelling that informs HIV kids of their disease,"September 10, 2012",TAMIL NADU,11.127123,78.656891
â€˜Mental health factors top causes for suicide in Goaâ€™,"September 10, 2012",KARNATAKA,15.317277,75.71389
Opening eyes to realise the vision of others,"September 09, 2012",Tiruchirapalli,,
Advocacy initiative for people living with HIV/AIDS,"September 11, 2012",TAMIL NADU,11.127123,78.656891
M.S.Viswanathan tunes up mood at award presentation ceremony,"September 11, 2012",TAMIL NADU,11.127123,78.656891
M.S.Viswanathan tunes up mood at award presentation ceremony,"September 11, 2012",Tiruchirapalli,,
"Sex workers seek pension, houses","August 15, 2012",TAMIL NADU,11.127123,78.656891
Grievances meet,"August 14, 2012",TAMIL NADU,11.127123,78.656891
"Sex workers seek pension, houses","August 15, 2012",Chennai,13.08268,80.270721
Kochi today,"August 14, 2012",KERALA,10.850516,76.27108
Gram Sabha to aid AIDs awareness campaign,"August 14, 2012",TAMIL NADU,11.127123,78.656891
Congested treatment centre in GH leaves HIV positive with no privacy to discuss health issues,"August 15, 2012",Tiruchirapalli,,
Students bring cheer to HIV/AIDS- affected children,"August 16, 2012",ANDHRA PRADESH,15.9129,79.73999
An enriching experience,"August 27, 2012",TAMIL NADU,11.127123,78.656891
Students to address urban health issues,"August 27, 2012",Chennai,13.08268,80.270721
New meanings of freedom,"August 16, 2012",TAMIL NADU,11.127123,78.656891
â€˜Rs. 386 crore set aside for government doctorsâ€™,"August 26, 2012",KARNATAKA,15.317277,75.71389
Students to address urban health issues,"August 27, 2012",TAMIL NADU,11.127123,78.656891
Students to address urban health issues,"August 28, 2012",TAMIL NADU,11.127123,78.656891
"Inspiring safety, quality","August 29, 2012",ANDHRA PRADESH,15.9129,79.73999
New-found freedom for underprivileged kids,"August 17, 2012",TAMIL NADU,11.127123,78.656891
â€˜TANSACS not following job reservation normsâ€™,"August 20, 2012",TAMIL NADU,11.127123,78.656891
Engineering college wins best NSS unit award,"August 23, 2012",ANDHRA PRADESH,15.9129,79.73999
Safety test of donated blood in govt. hospitals by year-end,"August 23, 2012",NEW DELHI,28.632429,77.218788
Students conduct survey on blood donation,"August 16, 2012",ANDHRA PRADESH,15.9129,79.73999
Pendency rate of cases has come down drastically: CJ,"August 16, 2012",TAMIL NADU,11.127123,78.656891
Gram sabha meeting held,"August 16, 2012",TAMIL NADU,11.127123,78.656891
Grama sabhas exercise accountability on I-Day,"August 16, 2012",TAMIL NADU,11.127123,78.656891
"More infrastructure projects for Delhi soon, says Sheila","August 16, 2012",NEW DELHI,28.632429,77.218788
Importance of creating â€˜model villagesâ€™ stressed at gram sabha meeting,"August 16, 2012",TAMIL NADU,11.127123,78.656891
Cultural show steals limelight during Independence Day celebrations,"August 16, 2012",TAMIL NADU,11.127123,78.656891
New meanings of freedom,"August 16, 2012",Chennai,13.08268,80.270721
Gram sabha meeting held,"August 16, 2012",Madurai,9.925201,78.119774
Little privacy for HIV patients to discuss health issues at ART centre,"August 17, 2012",TAMIL NADU,11.127123,78.656891
Safety test of donated blood in govt. hospitals by year-end,"August 23, 2012",Delhi,28.70406,77.102493
